person,trial,times,events,block
1,11,1084,targOff,4
1,12,883,dotRemoved,4
1,12,983,targOn,4
1,12,1017,targOff,4
1,13,1132,dotRemoved,4
1,13,1232,targOn,4
1,13,1266,targOff,4
1,14,1233,dotRemoved,4
1,14,1333,targOn,4
1,14,1367,targOff,4
1,15,1166,dotRemoved,4
1,15,1266,targOn,4
1,15,1300,targOff,4
1,16,1250,dotRemoved,4
1,16,1349,targOn,4
1,16,1383,targOff,4
1,17,1116,dotRemoved,4
1,17,1216,targOn,4
1,17,1250,targOff,4
1,18,1099,dotRemoved,4
1,18,1199,targOn,4
1,18,1233,targOff,4
1,19,918,dotRemoved,4
1,19,1017,targOn,4
1,19,1051,targOff,4
1,20,832,dotRemoved,4
1,20,932,targOn,4
1,20,966,targOff,4
1,21,866,dotRemoved,4
1,21,966,targOn,4
1,21,1001,targOff,4
1,22,1262,dotRemoved,4
1,22,1362,targOn,4
1,22,1396,targOff,4
1,23,1167,dotRemoved,4
1,23,1266,targOn,4
1,23,1300,targOff,4
1,24,1233,dotRemoved,4
1,24,1333,targOn,4
1,24,1367,targOff,4
1,25,999,dotRemoved,4
1,25,1099,targOn,4
1,25,1133,targOff,4
1,26,1167,dotRemoved,4
1,26,1266,targOn,4
1,26,1300,targOff,4
1,27,1232,dotRemoved,4
1,27,1332,targOn,4
1,27,1366,targOff,4
1,30,1049,dotRemoved,4
1,30,1149,targOn,4
1,30,1183,targOff,4
1,31,1016,dotRemoved,4
1,31,1116,targOn,4
1,31,1150,targOff,4
1,32,1166,dotRemoved,4
1,32,1265,targOn,4
1,32,1300,targOff,4
1,33,778,dotRemoved,4
1,33,878,targOn,4
1,33,912,targOff,4
1,34,1083,dotRemoved,4
1,34,1183,targOn,4
1,34,1217,targOff,4
1,35,983,dotRemoved,4
1,35,1083,targOn,4
1,35,1117,targOff,4
1,36,1182,dotRemoved,4
1,36,1282,targOn,4
1,36,1316,targOff,4
1,37,983,dotRemoved,4
1,37,1083,targOn,4
1,37,1117,targOff,4
1,38,933,dotRemoved,4
1,38,1033,targOn,4
1,38,1067,targOff,4
1,39,1199,dotRemoved,4
1,39,1299,targOn,4
1,39,1333,targOff,4
1,40,1117,dotRemoved,4
1,40,1216,targOn,4
1,40,1250,targOff,4
1,1,858,dotRemoved,5
1,1,966,targOn,5
1,1,1001,targOff,5
1,2,975,dotRemoved,5
1,2,1066,targOn,5
1,2,1100,targOff,5
1,3,974,dotRemoved,5
1,3,1066,targOn,5
1,3,1100,targOff,5
1,4,1056,dotRemoved,5
1,4,1164,targOn,5
1,4,1199,targOff,5
1,5,1107,dotRemoved,5
1,5,1199,targOn,5
1,5,1233,targOff,5
1,6,908,dotRemoved,5
1,6,1000,targOn,5
1,6,1034,targOff,5
1,7,1224,dotRemoved,5
1,7,1316,targOn,5
1,7,1350,targOff,5
1,8,936,dotRemoved,5
1,8,1028,targOn,5
1,8,1062,targOff,5
1,9,1041,dotRemoved,5
1,9,1132,targOn,5
1,9,1167,targOff,5
1,10,941,dotRemoved,5
1,10,1033,targOn,5
1,10,1067,targOff,5
1,11,924,dotRemoved,5
1,11,1000,targOn,5
1,11,1034,targOff,5
1,12,974,dotRemoved,5
1,12,1050,targOn,5
1,12,1084,targOff,5
1,13,1007,dotRemoved,5
1,13,1083,targOn,5
1,13,1117,targOff,5
1,14,890,dotRemoved,5
1,14,982,targOn,5
1,14,1016,targOff,5
1,16,1075,dotRemoved,5
1,16,1166,targOn,5
1,16,1200,targOff,5
1,17,1108,dotRemoved,5
1,17,1200,targOn,5
1,17,1234,targOff,5
1,18,1057,dotRemoved,5
1,18,1149,targOn,5
1,18,1183,targOff,5
1,19,891,dotRemoved,5
1,19,983,targOn,5
1,19,1017,targOff,5
1,20,775,dotRemoved,5
1,20,866,targOn,5
1,20,900,targOff,5
1,21,990,dotRemoved,5
1,21,1065,targOn,5
1,21,1099,targOff,5
1,22,1041,dotRemoved,5
1,22,1132,targOn,5
1,22,1167,targOff,5
1,23,990,dotRemoved,5
1,23,1065,targOn,5
1,23,1099,targOff,5
1,24,1057,dotRemoved,5
1,24,1149,targOn,5
1,24,1183,targOff,5
1,25,826,dotRemoved,5
1,25,917,targOn,5
1,25,952,targOff,5
1,26,857,dotRemoved,5
1,26,949,targOn,5
1,26,983,targOff,5
1,27,907,dotRemoved,5
1,27,982,targOn,5
1,27,1016,targOff,5
1,28,1154,dotRemoved,5
1,28,1246,targOn,5
1,28,1280,targOff,5
1,29,1074,dotRemoved,5
1,29,1150,targOn,5
1,29,1184,targOff,5
1,30,1238,dotRemoved,5
1,30,1329,targOn,5
1,30,1364,targOff,5
1,31,1091,dotRemoved,5
1,31,1182,targOn,5
1,31,1217,targOff,5
1,32,791,dotRemoved,5
1,32,883,targOn,5
1,32,917,targOff,5
1,33,1141,dotRemoved,5
1,33,1232,targOn,5
1,33,1267,targOff,5
1,35,1141,dotRemoved,5
1,35,1216,targOn,5
1,35,1250,targOff,5
1,36,920,dotRemoved,5
1,36,1011,targOn,5
1,36,1046,targOff,5
1,39,1107,dotRemoved,5
1,39,1199,targOn,5
1,39,1233,targOff,5
1,40,1175,dotRemoved,5
1,40,1267,targOn,5
1,40,1301,targOff,5
1,1,1245,dotRemoved,6
1,1,1344,targOn,6
1,1,1379,targOff,6
1,2,799,dotRemoved,6
1,2,899,targOn,6
1,2,933,targOff,6
1,3,866,dotRemoved,6
1,3,966,targOn,6
1,3,1000,targOff,6
1,4,1049,dotRemoved,6
1,4,1149,targOn,6
1,4,1183,targOff,6
1,5,1066,dotRemoved,6
1,5,1166,targOn,6
1,5,1200,targOff,6
1,6,799,dotRemoved,6
1,6,899,targOn,6
1,6,933,targOff,6
1,7,849,dotRemoved,6
1,7,949,targOn,6
1,7,983,targOff,6
1,8,797,dotRemoved,6
1,8,897,targOn,6
1,8,931,targOff,6
1,9,783,dotRemoved,6
1,9,882,targOn,6
1,9,917,targOff,6
1,10,866,dotRemoved,6
1,10,965,targOn,6
1,10,1000,targOff,6
1,11,833,dotRemoved,6
1,11,933,targOn,6
1,11,967,targOff,6
1,12,1117,dotRemoved,6
1,12,1217,targOn,6
1,12,1251,targOff,6
1,13,850,dotRemoved,6
1,13,949,targOn,6
1,13,984,targOff,6
1,14,1083,dotRemoved,6
1,14,1182,targOn,6
1,14,1217,targOff,6
1,15,999,dotRemoved,6
1,15,1099,targOn,6
1,15,1133,targOff,6
1,16,1149,dotRemoved,6
1,16,1249,targOn,6
1,16,1284,targOff,6
1,17,782,dotRemoved,6
1,17,882,targOn,6
1,17,916,targOff,6
1,18,1250,dotRemoved,6
1,18,1350,targOn,6
1,18,1384,targOff,6
1,19,833,dotRemoved,6
1,19,933,targOn,6
1,19,967,targOff,6
1,20,1082,dotRemoved,6
1,20,1182,targOn,6
1,20,1216,targOff,6
1,21,983,dotRemoved,6
1,21,1082,targOn,6
1,21,1117,targOff,6
1,22,1016,dotRemoved,6
1,22,1116,targOn,6
1,22,1150,targOff,6
1,23,950,dotRemoved,6
1,23,1049,targOn,6
1,23,1084,targOff,6
1,26,1016,dotRemoved,6
1,26,1116,targOn,6
1,26,1150,targOff,6
1,27,933,dotRemoved,6
1,27,1033,targOn,6
1,27,1067,targOff,6
1,28,933,dotRemoved,6
1,28,1032,targOn,6
1,28,1066,targOff,6
1,29,850,dotRemoved,6
1,29,949,targOn,6
1,29,983,targOff,6
1,30,1116,dotRemoved,6
