person blockN blockType trial flankerSide targetSide respG respC targOri saccStart
7 16 2 4 outer right 1 right left NaN
7 16 2 5 outer right 0 up down NaN
7 16 2 6 outer right 1 up down NaN
7 16 2 7 outer right 1 down up NaN
7 16 2 8 none right 1 down right NaN
7 16 2 9 inner right 1 up down NaN
7 16 2 10 outer left 1 down up NaN
7 16 2 11 outer left 1 down right NaN
7 16 2 12 none right 0 NaN left NaN
7 16 2 13 none left 1 right left NaN
7 16 2 14 inner left 1 down down NaN
7 16 2 15 inner left 1 down up NaN
7 16 2 16 none right 1 up down NaN
7 16 2 17 inner left 1 up down NaN
7 16 2 18 inner left 0 down up NaN
7 16 2 19 inner right 1 up down NaN
7 16 2 20 inner right 0 NaN left NaN
7 16 2 21 outer left 1 down up NaN
7 16 2 22 outer left 0 right down NaN
7 16 2 23 none left 1 up down NaN
7 16 2 24 outer left 1 left right NaN
7 16 2 25 none right 1 right up NaN
7 16 2 26 inner right 1 up down NaN
7 16 2 27 inner right 1 right left NaN
7 16 2 28 outer right 1 right right NaN
7 16 2 29 outer right 0 NaN right NaN
7 16 2 30 none left 1 down up NaN
7 16 2 31 inner left 1 up down NaN
7 16 2 32 none right 0 NaN left NaN
7 16 2 33 inner right 1 right left NaN
7 16 2 34 none right 0 NaN down NaN
7 16 2 35 none left 1 left right NaN
7 16 2 36 inner right 1 left right NaN
7 17 1 1 inner left 0 NaN left NaN
7 17 1 2 inner right 1 right left 0.375184
7 17 1 3 none left 0 NaN right NaN
7 17 1 4 outer right 0 left right 0.158219
7 17 1 5 outer right 0 NaN right NaN
7 17 1 6 outer right 1 down right 0.160375
7 17 1 7 none right 1 left right 0.000000
7 17 1 8 outer left 0 NaN right NaN
7 17 1 9 outer left 0 NaN right NaN
7 17 1 10 outer left 0 NaN up NaN
7 17 1 11 none left 1 left right 0.291537
7 17 1 12 inner left 1 left right 0.291439
7 17 1 13 outer left 1 right left 0.374985
7 17 1 14 none left 1 left right 0.375113
7 17 1 15 inner left 1 left right 0.302232
7 17 1 16 none right 0 NaN right NaN
7 17 1 17 outer right 1 right left 0.074844
7 17 1 18 outer right 1 down up 0.257077
7 17 1 19 none left 1 up down 0.074907
7 17 1 20 inner right 0 NaN up NaN
7 17 1 21 inner left 1 right left 0.374718
7 17 1 22 inner left 1 up down 0.290225
7 17 1 23 inner left 0 NaN left NaN
7 17 1 24 none right 0 NaN left NaN
7 17 1 25 inner left 0 NaN up NaN
7 17 1 26 outer right 1 right left 0.374637
7 17 1 27 outer right 1 up down 0.708507
7 17 1 28 inner left 1 down up 0.074942
