person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
10 6 2 19 inner right 1 down right NaN 1.514557 1.547889
10 6 2 20 outer right 1 up up NaN 1.432019 1.465309
10 6 2 21 inner right 1 down left NaN 1.597999 1.631284
10 6 2 22 inner left 1 left down NaN 1.443943 1.477258
10 6 2 23 outer right 1 down left NaN 1.264638 1.297965
10 6 2 24 none left 1 right up NaN 1.364529 1.397892
10 6 2 25 none left 1 up up NaN 1.598039 1.631271
10 6 2 26 inner right 1 down up NaN 1.598018 1.631266
10 6 2 27 inner right 1 right up NaN 1.581359 1.614661
10 6 2 28 none right 1 down left NaN 1.264626 1.297944
10 6 2 29 inner left 1 left left NaN 1.446735 1.480055
10 6 2 30 inner left 1 up up NaN 1.347851 1.381189
10 6 2 31 outer right 1 down down NaN 1.681370 1.714612
10 6 2 32 none right 1 left left NaN 1.514626 1.547959
10 6 2 33 outer right 1 up right NaN 1.431437 1.464650
10 6 2 34 outer right 1 up right NaN 1.431359 1.464689
10 6 2 35 none right 1 left down NaN 1.681286 1.714606
10 6 2 36 outer left 1 up left NaN 1.431300 1.464545
10 7 1 1 none right 1 down down 0.000000 1.348148 1.381401
10 7 1 2 inner right 1 up down 12114.510738 1.215152 1.248454
10 7 1 3 inner right 1 left down 0.241756 2.764655 2.797927
10 7 1 4 none left 1 down up 0.074990 1.599050 1.631292
10 7 1 5 none right 1 up up 0.000000 1.681274 1.714523
10 7 1 6 outer left 0 down up 12133.960923 1.597989 1.631265
10 7 1 7 inner right 1 down up 0.791431 1.514709 1.547953
10 7 1 8 inner right 1 right right 0.074939 1.431308 1.464641
10 7 1 9 inner left 1 down down 0.000000 1.431327 1.464593
10 7 1 10 inner left 1 down left 12161.244519 1.181342 1.214598
10 7 1 11 none left 1 left up 0.000000 1.331369 1.364721
10 7 1 12 inner left 1 down right 12168.627847 1.281404 1.314619
10 7 1 13 none left NaN NaN up NaN 1.598037 1.631364
10 7 1 14 none left 0 down up 0.458285 1.347846 1.381120
10 7 1 15 outer right 1 right left 0.074816 1.431192 1.464574
10 7 1 16 outer right 1 right right 0.000000 1.701542 1.747964
10 7 1 17 none left 1 right up 0.000000 1.431484 1.464754
10 7 1 18 none left 1 down up 12194.211529 1.198024 1.231304
10 7 1 19 none left 1 up left 12199.511492 1.431271 1.464594
10 7 1 20 outer left 1 down up 0.000000 1.431259 1.464632
10 7 1 21 none right 1 up left 12208.244916 1.448033 1.481282
10 7 1 22 inner left 1 down right 0.000000 1.514518 1.547844
10 7 1 23 outer left 1 right down 12215.794976 1.432029 1.465371
10 7 1 24 none left 1 up right 0.475259 1.448013 1.481270
10 7 1 25 outer left NaN NaN up NaN 1.431219 1.464605
10 7 1 26 outer right 1 up down 0.074883 1.429241 1.462587
10 7 1 27 inner right 1 down left 0.000000 1.514615 1.547907
10 7 1 28 inner right 1 up down 12238.728424 1.264696 1.297915
10 7 1 29 outer right 1 up down 0.000000 1.431227 1.481329
10 7 1 30 none right 1 left up 12246.728558 1.531701 1.564987
10 7 1 31 inner left 1 right right 0.458241 1.598002 1.631270
10 7 1 32 inner right NaN NaN left NaN 1.764666 1.797945
10 7 1 33 outer left 1 right left 0.074859 1.515310 1.548625
10 7 1 34 outer right 1 left right 0.000000 1.431271 1.464600
10 7 1 35 outer left 1 right right 12266.462034 1.364445 1.397793
10 7 1 36 outer right 1 right up 0.000000 1.597953 1.631323
10 8 2 1 inner right NaN NaN right NaN 0.000000 0.000000
10 8 2 2 inner left 1 down down NaN 1.597889 1.631247
10 8 2 3 none right 1 right up NaN 1.347998 1.381262
10 8 2 4 none left 1 down down NaN 1.347866 1.381122
10 8 2 5 outer right 1 up down NaN 1.514664 1.547920
10 8 2 6 outer left 1 right left NaN 1.431336 1.464617
10 8 2 7 outer left 1 up right NaN 1.581365 1.614620
10 8 2 8 outer left 1 down right NaN 1.348015 1.381268
10 8 2 9 none right 1 left up NaN 1.431227 1.464489
10 8 2 10 none right 1 right right NaN 1.514828 1.548101
10 8 2 11 inner right NaN NaN down NaN 0.000000 0.000000
10 8 2 12 outer right 1 up right NaN 1.409908 1.443277
10 8 2 13 outer left 1 right left NaN 1.597952 1.631276
10 8 2 14 none left NaN NaN up NaN 0.000000 0.000000
10 8 2 15 none left 1 right right NaN 1.181990 1.215246
10 8 2 16 inner right 1 right down NaN 1.427779 1.461001
10 8 2 17 none left 1 right right NaN 1.514696 1.547948
10 8 2 18 none left 1 up up NaN 1.597956 1.631300
10 8 2 19 inner left 1 right right NaN 1.247962 1.281294
10 8 2 20 inner left 1 up right NaN 1.597951 1.631272
10 8 2 21 outer left NaN NaN up NaN 0.000000 0.000000
10 8 2 22 inner left 1 right left NaN 1.581254 1.614503
10 8 2 23 outer left 1 up left NaN 1.264534 1.297790
10 8 2 24 none right 1 up right NaN 1.264590 1.297932
10 8 2 25 none right 1 right up NaN 1.598006 1.631262
10 8 2 26 inner right 0 down down NaN 1.264695 1.297964
10 8 2 27 none left 1 down right NaN 1.595791 1.629096
10 8 2 28 inner left 1 up left NaN 1.597979 1.631299
10 8 2 29 outer right 1 right right NaN 1.598198 1.631462
10 8 2 30 inner left 0 up up NaN 1.181371 1.214602
10 8 2 31 inner right 1 down right NaN 1.181300 1.214654
10 8 2 32 inner left 0 down left NaN 1.264695 1.297955
